Id_hecho,n_victimas,fecha,hora,comuna,tipo_calle,longitud,latitud,victima,acusado,participantes,gravedad
LC-2019-0000179,1,2019-01-01,09:00:00,14,SIN DATO,-58.408911,-34.559658,CICLISTA,SIN DATO,CICLISTA - SIN DATO,SIN DATO
LC-2019-0000053,1,2019-01-01,01:55:00,8,SIN DATO,-58.44351,-34.669125,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2019-0000063,1,2019-01-01,02:00:00,8,SIN DATO,-58.468335,-34.677556,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0000079,1,2019-01-01,02:30:00,7,SIN DATO,-58.437425,-34.647349,PEATON,SIN DATO,PEATON - SIN DATO,SIN DATO
LC-2019-0000082,4,2019-01-01,04:30:00,3,SIN DATO,-58.398225,-34.604579,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2019-0000136,2,2019-01-01,08:05:00,15,SIN DATO,-58.439392,-34.588108,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2019-0000142,1,2019-01-01,07:30:00,11,SIN DATO,-58.519116,-34.589282,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2019-0000194,1,2019-01-01,07:15:00,9,SIN DATO,-58.528413,-34.650156,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2019-0000202,1,2019-01-01,09:36:00,1,SIN DATO,-58.371488,-34.598416,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2019-0000329,1,2019-01-01,12:24:00,4,SIN DATO,-58.404748,-34.648387,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2019-0000347,1,2019-01-01,12:02:00,7,SIN DATO,-58.442125,-34.649498,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2019-0000445,3,2019-01-01,13:40:00,11,SIN DATO,-58.524662,-34.603255,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2019-0000493,1,2019-01-01,13:00:00,4,SIN DATO,-58.376137,-34.651461,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0000600,1,2019-01-01,19:46:00,1,SIN DATO,-58.374154,-34.591108,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0000636,1,2019-01-01,18:30:00,9,SIN DATO,-58.505709,-34.654463,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2019-0000647,1,2019-01-01,18:50:00,12,SIN DATO,-58.490436,-34.583403,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2019-0000686,1,2019-01-01,21:46:00,9,SIN DATO,-58.512313,-34.661307,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2019-0005235,1,2019-01-01,03:00:00,2,SIN DATO,-58.399038,-34.598285,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0002218,1,2019-01-02,15:27:00,1,SIN DATO,-58.373748,-34.604635,CICLISTA,SIN DATO,CICLISTA - SIN DATO,SIN DATO
LC-2019-0000928,1,2019-01-02,07:01:00,5,SIN DATO,SIN DATO,SIN DATO,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2019-0000963,5,2019-01-02,08:30:00,6,SIN DATO,-58.447266,-34.622984,TRANSPORTE PUBLICO,SIN DATO,TRANSPORTE PUBLICO - SIN DATO,SIN DATO
LC-2019-0001754,1,2019-01-02,12:00:00,5,SIN DATO,-58.415098,-34.620858,CAMIONETA,SIN DATO,CAMIONETA - SIN DATO,SIN DATO
LC-2019-0001879,1,2019-01-02,13:22:00,1,SIN DATO,-58.37226,-34.596132,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0001948,1,2019-01-02,12:32:00,14,SIN DATO,-58.448666,-34.567927,PEATON,SIN DATO,PEATON - SIN DATO,SIN DATO
LC-2019-0001987,1,2019-01-02,13:57:00,13,SIN DATO,-58.468124,-34.552719,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2019-0001992,1,2019-01-02,14:09:00,1,SIN DATO,-58.37226,-34.596132,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2019-0002083,1,2019-01-02,05:15:00,13,SIN DATO,-58.474535,-34.53838,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0002208,1,2019-01-02,15:18:00,4,SIN DATO,-58.398009,-34.638178,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0002740,1,2019-01-02,17:14:00,8,SIN DATO,-58.464704,-34.690814,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0003220,2,2019-01-02,19:50:00,3,SIN DATO,-58.39338,-34.609275,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0003340,1,2019-01-02,23:29:00,1,SIN DATO,-58.370261,-34.606522,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0005610,1,2019-01-02,07:15:00,1,SIN DATO,-58.373281,-34.590127,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2019-0020183,1,2019-01-02,15:30:00,11,SIN DATO,-58.461782,-34.612442,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0022496,1,2019-01-02,10:00:00,4,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0003428,1,2019-01-03,02:05:00,1,SIN DATO,-58.370261,-34.606522,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2019-0003432,1,2019-01-03,02:08:00,4,SIN DATO,-58.370256,-34.633619,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0003642,1,2019-01-03,08:47:00,4,SIN DATO,-58.389014,-34.651172,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0003787,1,2019-01-03,16:00:00,10,SIN DATO,-58.516946,-34.620214,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0003862,2,2019-01-03,09:10:00,14,SIN DATO,-58.420172,-34.587788,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0003884,1,2019-01-03,09:50:00,1,SIN DATO,-58.374037,-34.624434,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0004144,1,2019-01-03,11:51:00,13,SIN DATO,-58.458802,-34.572009,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0004229,1,2019-01-03,12:14:00,2,SIN DATO,-58.409433,-34.598087,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0004442,2,2019-01-03,11:00:00,12,SIN DATO,-58.471429,-34.560095,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0004565,1,2019-01-03,13:44:00,10,SIN DATO,-58.502861,-34.634383,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
LC-2019-0004621,1,2019-01-03,13:20:00,3,SIN DATO,-58.402885,-34.61544,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2019-0004622,1,2019-01-03,14:02:00,12,SIN DATO,-58.49491,-34.547957,AUTO,SIN DATO,AUTO - SIN DATO,SIN DATO
LC-2019-0004652,1,2019-01-03,14:18:00,15,SIN DATO,-58.455131,-34.605272,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
