provider,type,code,name,status,latitude,longitude
UTC API,Cruce Citar,3337,3337,Conectado,-34.576578,-58.431704
UTC API,Cruce Citar,3338,3338,Conectado,-34.5837243,-58.42308
UTC API,Cruce Citar,3339,3339,Conectado,-34.577002,-58.430329
UTC API,Cruce Icarus,CLT#040317,Av. Córdoba - Fitz Roy,Conectado,-34.5875783,-58.4401809
UTC API,Cruce Icarus,CLT#040316,Av. Córdoba - Humbolt,Conectado,-34.5880992,-58.4394128
UTC API,Cruce Icarus,CLT#040319,Av. Córdoba - Carranza,Conectado,-34.5860873,-58.4424421
UTC API,Cruce Icarus,CLT#040318,Av. Córdoba - Bonpland,Conectado,-34.5867641,-58.4414149
UTC API,Cruce Icarus,CLT#040312,Guevara - Santos Dumont,Error de conexión,-34.5873833,-58.4491615
UTC API,Cruce Sitra,b530bc2e-6aa7-4b5a-b88b-e5e34a12169f,1111,Conectado,-34.58988781083168,-58.400881695460534
UTC API,Cruce Icarus,CLT#040314,Jorge Newbery - Guzmán,Error de conexión,-34.5901157,-58.4523095
UTC API,Cruce Icarus,CLT#040311,Av. Dorrego - Guzmán,Conectado,-34.5926291,-58.4486457
UTC API,Cruce Icarus,CLT#040310,Niceto Vega - Arévalo,Conectado,-34.5837354,-58.443641
UTC API,Cruce Citar,3330,3330,Conectado,-34.5796773,-58.423422
UTC API,Cruce Citar,3331,3331,Conectado,-34.5793226,-58.4244112
UTC API,Cruce Citar,3332,3332,Conectado,-34.5787155,-58.4253107
UTC API,Cruce Citar,3333,3333,Conectado,-34.577991,-58.426678
UTC API,Cruce Citar,3334,3334,Conectado,-34.577849,-58.427408
UTC API,Cruce Citar,3335,3335,Conectado,-34.577426,-58.428869
UTC API,Cruce Citar,3336,3336,Error de conexión,-34.5814817,-58.4237613
UTC API,Cruce Citar,3348,3348,Conectado,-34.5831981,-58.4072243
UTC API,Cruce Citar,3349,3349,Error de conexión,-34.5809173,-58.4245225
UTC API,Cruce Icarus,CLT#040309,Av. Dorrego - Niceto Vega,Conectado,-34.583204,-58.4444164
UTC API,Cruce Icarus,CLT#040306,Av. Alvarez Thomas - Jorge Newbery,Error de conexión,-34.5814825,-58.4484578
UTC API,Cruce Icarus,CLT#040305,Av. Corrientes - Av. Dorrego,Conectado,-34.5917346,-58.4475766
UTC API,Cruce Icarus,CLT#040308,Av. Alvarez Thomas - Concepción Arenal,Conectado,-34.5826059,-58.4458088
UTC API,Cruce Icarus,CLT#040307,Av. Alvarez Thomas - Santos Dumont,Error de conexión,-34.5820379,-58.4471191
UTC API,Cruce Icarus,CLT#040302,Av. Corrientes - Jorge Newbery,Conectado,-34.5888708,-58.4510068
UTC API,Cruce Icarus,CLT#040301,Zapiola - Concepción Arenal,Conectado,-34.5791934,-58.4425943
UTC API,Cruce Icarus,CLT#040304,Av. Corrientes - Leiva,Conectado,-34.5905892,-58.4487472
UTC API,Cruce Icarus,CLT#040303,Av. Corrientes - Concepción Arenal,Conectado,-34.5901998,-58.4491569
UTC API,Cruce Citar,3342,3342,Conectado,-34.5830039,-58.4240346
UTC API,Cruce Citar,3343,3343,Conectado,-34.5821046,-58.4228963
UTC API,Cruce Sitra,efccae0f-fad9-4597-ab9f-30f068223ce8,8318,Conectado,-34.63792665026612,-58.374753279242185
UTC API,Cruce Sitra,026a6e5f-9100-4a32-9af2-5a8c4e8ed317,1524,Conectado,-34.599945102057134,-58.376791628181586
UTC API,Cruce Citar,3344,3344,Error de conexión,-34.5813413,-58.4262366
UTC API,Cruce Citar,3345,3345,Conectado,-34.5823696,-58.4248839
UTC API,Cruce Citar,3346,3346,Error de conexión,-34.5803595,-58.4253276
UTC API,Cruce Citar,3347,3347,Conectado,-34.5855035,-58.4059069
UTC API,Cruce Citar,3326,3326,Conectado,-34.5809251,-58.420466
UTC API,Cruce Icarus,CLT#051004,Yerbal - Colpayo,Error de conexión,-34.6187262,-58.4407424
UTC API,Cruce Citar,3327,3327,Conectado,-34.5818698,-58.4207887
UTC API,Cruce Icarus,CLT#051005,Av. Acoyte - Venancio Flores - Nicolás Vila,Error de conexión,-34.6166784,-58.4372369
UTC API,Cruce Icarus,CLT#051006,Av. Acoyte - Neuquén - Dr. Gregorio Araoz Alfaro,Error de conexión,-34.6158642,-58.4376041
UTC API,Cruce Citar,3328,3328,Conectado,-34.5807268,-58.4214538
UTC API,Cruce Citar,3329,3329,Conectado,-34.5803845,-58.4224082
UTC API,Cruce Icarus,CLT#051007,Ramón L. Falcón - Malvinas Argentinas,Error de conexión,-34.6258888,-58.4514885
UTC API,Cruce Icarus,CLT#051001,Yerbal - Nicasio Oroño,Error de conexión,-34.6226542,-58.4499712
UTC API,Cruce Icarus,CLT#051002,Yerbal - Gral. Martín de Gainza,Error de conexión,-34.6205278,-58.4449113
UTC API,Cruce Icarus,CLT#051003,Yerbal - Rojas,Error de conexión,-34.6192787,-58.4419574
UTC API,Cruce Sitra,0ab155f2-ed40-45a4-bfb2-21983eac443c,2208,Conectado,-34.62168437456955,-58.368286100173655
UTC API,Cruce Sitra,b8c796b4-a178-4d97-be83-f8f610b92e4f,1223,Conectado,-34.59948069962602,-58.4010660285854
UTC API,Cruce Sitra,d9042deb-c520-464d-9c51-0aa0a96e8cb9,2224,Desconocido,-34.62042516852411,-58.366240288893536
UTC API,Cruce Citar,3320,3320,Conectado,-34.5847909,-58.4070869
UTC API,Cruce Icarus,CLT#051008,Av. Rivadavia - Malvinas Argentinas,Error de conexión,-34.6248367,-58.4520034
UTC API,Cruce Icarus,CLT#051009,Av. Rivadavia - José Juan Biedma,Error de conexión,-34.6243051,-58.4506646
UTC API,Cruce Citar,3324,3324,Conectado,-34.5828015,-58.4219452
UTC API,Cruce Citar,3325,3325,Conectado,-34.5814005,-58.4202159
UTC API,Cruce Icarus,CLT#051015,Av. Rivadavia - Cachimayo - Nicolás Repetto,Error de conexión,-34.6210998,-58.442896
UTC API,Cruce Icarus,CLT#051016,Av. Rivadavia - Del Barco Centenera - Rojas,Error de conexión,-34.6204934,-58.4414453
UTC API,Cruce Omnia,1597,1597,Error de conexión,-34.607810974121094,-58.37095642089844
UTC API,Cruce Icarus,CLT#051017,Av. Rivadavia - San José de Calasanz - Parral,Error de conexión,-34.6194369,-58.4390198
UTC API,Cruce Icarus,CLT#051018,Av. Rivadavia - Miguel Ángel Giménez - Hidalgo,Error de conexión,-34.6188507,-58.437748
UTC API,Cruce Icarus,CLT#051011,Av. Rivadavia - Puan/Chirimay/Fragata Sarmiento,Error de conexión,-34.6232612,-58.4481678
UTC API,Cruce Icarus,CLT#051012,Av. Rivadavia - Hortiguera - Paisandú,Error de conexión,-34.6229165,-58.4473133
UTC API,Cruce Icarus,CLT#051013,Av. Rivadavia - Víctor Martínez - Espinosa,Error de conexión,-34.6223432,-58.4458335
UTC API,Cruce Icarus,CLT#051014,Av. Rivadavia - E. Mitre/Federico García Lorca,Error de conexión,-34.6218997,-58.4443747
UTC API,Cruce Omnia,1591,1591,Error de conexión,-34.6080436706543,-58.37339782714844
UTC API,Cruce Omnia,1590,1590,Error de conexión,-34.60795593261719,-58.37217330932617
UTC API,Cruce Icarus,CLT#051010,Av. Rivadavia - Nicasio Oroño,Error de conexión,-34.6238609,-58.4493828
UTC API,Cruce Sitra,4527d451-2559-439b-b908-99dbb871cdfe,8946,Conectado,-34.61921623754822,-58.35768260758183
ETX Signals,Cruce ETX,SR-1682,1682,Conectado,-34.614180323068304,-58.38027564544677
ETX Signals,Cruce ETX,SR-1683,1683,Conectado,-34.614250961334875,-58.380962290954585
UTC API,Cruce Icarus,CLT#051019,Av. Rivadavia - Av. J.M.Moreno - Av. Acoyte,Error de conexión,-34.6182608,-58.4364369
UTC API,Cruce Icarus,CLT#051026,Av. José María Moreno - Guayaquil,Error de conexión,-34.6204128,-58.4354988
UTC API,Cruce Citar,3304,3304,Conectado,-34.5838348,-58.4012001
UTC API,Cruce Icarus,CLT#051027,Av. José María Moreno - Formosa,Error de conexión,-34.6212441,-58.4351753
UTC API,Cruce Citar,3305,3305,Conectado,-34.583412,-58.4020349
UTC API,Cruce Citar,3306,3306,Conectado,-34.5834312,-58.404048
UTC API,Cruce Citar,3307,3307,Conectado,-34.5845788,-58.4050773
UTC API,Cruce Icarus,CLT#051022,Rosario - Miguel Ángel Giménez - Riglos,Error de conexión,-34.6197515,-58.4373411
UTC API,Cruce Citar,3308,3308,Conectado,-34.5834795,-58.4061851
UTC API,Cruce Citar,3309,3309,Conectado,-34.58284,-58.40824
UTC API,Cruce Icarus,CLT#051023,Rosario - Av. José María Moreno,Error de conexión,-34.6193337,-58.4359206
UTC API,Cruce Icarus,CLT#051024,Rosario - Beauchef,Error de conexión,-34.6190552,-58.4345492
UTC API,Cruce Icarus,CLT#051025,Riglos - Guayaquil,Error de conexión,-34.6210074,-58.436988
UTC API,Cruce Sitra,8d359250-0be8-4cb5-b4e0-0c5b998c4a84,1125,Conectado,-34.591991138405646,-58.39993467924935
UTC API,Cruce Icarus,CLT#051020,Rosario - Del Barco Centenera,Error de conexión,-34.6208134,-58.4410818
UTC API,Cruce Icarus,CLT#051021,Rosario - San José de Calasanz,Error de conexión,-34.6201696,-58.4387373
UTC API,Cruce Sitra,7691f6d4-bad1-4105-bd08-e2ba823a1315,1102,Conectado,-34.58565795678233,-58.393532671675516
Optimus signals,Cruce ETX,SR-7579,7579,Conectado,-34.56779429857964,-58.482624603271475
UTC API,Cruce Sitra,f8e56d19-d6fc-472b-9292-a0bc8fa67544,8286,Conectado,-34.63555541010257,-58.36995766752665
UTC API,Cruce Citar,3301,3301,Conectado,-34.5857653,-58.399119
UTC API,Cruce Citar,3302,3302,Conectado,-34.5850345,-58.3999491
UTC API,Cruce Citar,3303,3303,Conectado,-34.5844647,-58.4005702
UTC API,Cruce Sitra,e52ab1c7-2439-45f5-9a84-f451b21da8aa,8310,Conectado,-34.629130524553496,-58.372084633389086
UTC API,Cruce Sitra,f0f9cc75-2dbb-401b-bd18-be159439b923,2222,Desconocido,-34.61810626404664,-58.366494562385334
UTC API,Cruce Sitra,9ec180e6-128e-47db-84c5-4a4856a88830,1131,Desconocido,-34.591707951382254,-58.38992636735501
UTC API,Cruce Sitra,675ae0bd-8c9a-4013-b90f-2aa6ada42d7f,1376,Desconocido,-34.59967261095495,-58.40631649999998
UTC API,Cruce Sitra,8bdf6b61-977b-430b-9dec-81a4c70b595c,1277,Conectado,-34.594318291871076,-58.382748705109925
UTC API,Cruce Sitra,0fc90adc-4ae0-4e4b-8a63-7ab020bb9ffa,8336,Red caída,-34.63956606345646,-58.37585465628398
Optimus signals,Cruce ETX,SR-7560,7560,Conectado,-34.56835971862297,-58.48743112182616
Optimus signals,Cruce ETX,SR-7561,7561,Conectado,-34.56920784147916,-58.489147735595694
Optimus signals,Cruce ETX,SR-7563,7563,Conectado,-34.56835971862297,-58.489834381103506
UTC API,Cruce Sitra,a9557cdd-41bb-4bc6-9364-95e67613eaab,3859,Conectado,-34.59824364064725,-58.36958539683552
UTC API,Cruce Sitra,81f5bfe4-dd50-46a3-aed2-18a9d6a51a70,8349,Red caída,-34.64031357067545,-58.37706699120645
UTC API,Cruce Sitra,c3e27e7a-9a66-4ee9-a863-1c3cde9730ed,1293,Conectado,-34.59473040471975,-58.39451785404126
UTC API,Cruce Icarus,CRU_033130,Av. Perito Moreno - Del Barco Centenera,Red caída,-34.6500573,-58.4253538
UTC API,Cruce Sitra,4af5c28f-f01c-4265-9a7a-911971471719,2220,Desconocido,-34.61561467375999,-58.36677450082003
UTC API,Cruce Icarus,CRU_033133,Av. F. F. de la Cruz - José Martí,Red caída,-34.6601721,-58.4435146
UTC API,Cruce Icarus,CLT#050523,Pavón - 24 de Noviembre,Error de conexión,-34.6287212,-58.4099727
UTC API,Cruce Icarus,CRU_033134,Av. F. F. de la Cruz - Lacarra,Red caída,-34.6649443,-58.4498987
UTC API,Cruce Icarus,CLT#050522,Pavón - Gral. Urquiza,Error de conexión,-34.6283356,-58.408501
UTC API,Cruce Icarus,CLT#050521,Pavón - La Rioja,Error de conexión,-34.6281057,-58.4066703
UTC API,Cruce Icarus,CLT#050520,Pavón - Dean Funes,Error de conexión,-34.6279472,-58.405276
UTC API,Cruce Icarus,CRU_033137,Av. F. F. de la Cruz - Av. Mariano Acosta,Red caída,-34.6624143,-58.4463844
UTC API,Cruce Icarus,CRU_033138,Av. F. F. de la Cruz - Pergamino,Red caída,-34.6617642,-58.4455284
UTC API,Cruce Icarus,CRU_033139,Av. F. F. de la Cruz - Portela,Red caída,-34.6609587,-58.4445251
UTC API,Cruce Icarus,CLT#050527,Constitución - Av. Jujuy,Error de conexión,-34.6263711,-58.4015787
UTC API,Cruce Icarus,CLT#050526,Constitución - Alberti,Error de conexión,-34.6261477,-58.4001956
UTC API,Cruce Sitra,b49a0b69-8b61-474d-94d9-c5eabb9a095a,1108,Conectado,-34.59018025662208,-58.40037561301794
UTC API,Cruce Icarus,CLT#050525,Pavón - Virrey Liniers,Error de conexión,-34.6295055,-58.4131813
UTC API,Cruce Icarus,CLT#050524,Pavón - Sánchez de Loria,Error de conexión,-34.6292035,-58.4118558
UTC API,Cruce Icarus,CLT#050529,Constitución - 24 de Noviembre,Error de conexión,-34.6274525,-58.4100979
UTC API,Cruce Icarus,CLT#050528,Constitución - Catamarca,Error de conexión,-34.6265833,-58.4028913
UTC API,Cruce Icarus,CLT#050530,Av. Chiclana - La Rioja - Inclán,Error de conexión,-34.6302333,-58.4064133
UTC API,Cruce Icarus,CLT#050534,Av. Brasil - Pichincha,Error de conexión,-34.6303173,-58.3962745
UTC API,Cruce Icarus,CLT#050533,Salcedo - La Rioja,Error de conexión,-34.6318384,-58.4062322
UTC API,Cruce Icarus,CLT#050532,Salcedo - Dean Funes,Error de conexión,-34.6316401,-58.404775
UTC API,Cruce Icarus,CLT#050531,Av. Jujuy - Inclán,Error de conexión,-34.6300035,-58.4008892
UTC API,Cruce Icarus,CRU_033126,Del Barco Centenera - Tilcara,Red caída,-34.6541539,-58.4197449
UTC API,Cruce Icarus,CRU_033127,Del Barco Centenera - Santa Catalina,Red caída,-34.6528949,-58.4213986
UTC API,Cruce Icarus,CRU_033125,Av. F.F. De la Cruz - Del Barco Centenera,Red caída,-34.6478702,-58.4283167
UTC API,Cruce Sitra,7493ae2c-b137-4d25-8ec8-b89c4b34ffd6,1214,Conectado,-34.599363887297194,-58.38814212639435
UTC API,Cruce Icarus,CRU_033128,Del Barco Centenera - Cóndor,Red caída,-34.6517036,-58.4231086
UTC API,Cruce Sitra,9eae9e11-000a-4e8e-be60-2530e3185ae3,1190,Desconocido,-34.58961146649661,-58.38354768765633
UTC API,Cruce Icarus,CRU_033129,Del Barco Centenera - Esquiú - Tabaré,Red caída,-34.6511627,-58.4238356
UTC API,Cruce Icarus,CLT#050538,Av. Brasil - Catamarca,Error de conexión,-34.6321094,-58.4020089
UTC API,Cruce Icarus,CLT#050537,Av. Brasil - Av. Jujuy,Error de conexión,-34.6315553,-58.4005883
UTC API,Cruce Icarus,CLT#050536,Av. Brasil - Alberti,Error de conexión,-34.631076,-58.3991838
UTC API,Cruce Icarus,CLT#050535,Av. Brasil - Matheu,Error de conexión,-34.630578,-58.3977844
UTC API,Cruce Icarus,CLT#050539,Av. Brasil - Dean Funes,Error de conexión,-34.6331251,-58.4045657
UTC API,Cruce Icarus,CLT#050541,Av. Brasil - Gral Urquiza,Error de conexión,-34.6342536,-58.4078999
UTC API,Cruce Icarus,CLT#050540,Av. Brasil - La Rioja,Error de conexión,-34.6336602,-58.4060231
UTC API,Cruce Sitra,213cf2c3-d163-4ab4-a700-2aa356bc1dbd,2331,Conectado,-34.625476730695446,-58.37264291117569
UTC API,Cruce Icarus,CLT#050545,15 de Noviembre - Alberti,Error de conexión,-34.6333715,-58.3982902
UTC API,Cruce Icarus,CRU_033111,Av. Cobo - Beauchef - Lanza,Red caída,-34.6413184,-58.4298792
UTC API,Cruce Sitra,8faeddcd-6847-4c7e-b3cb-708a748ee52a,2853,Desconocido,-34.6260690083604,-58.38438100142372
UTC API,Cruce Icarus,CRU_033112,Av. Cobo - Av.J.M.Moreno - Av.Darac,Red caída,-34.6415471,-58.4311347
UTC API,Cruce Icarus,CLT#050544,15 de Noviembre - Matheu,Error de conexión,-34.633038,-58.3968671
UTC API,Cruce Icarus,CLT#050543,Catamarca - Cátulo Castillo,Error de conexión,-34.6331886,-58.4016018
UTC API,Cruce Icarus,CLT#050542,Av. Jujuy - Cátulo Castillo,Error de conexión,-34.6326424,-58.4001189
UTC API,Cruce Icarus,CRU_033113,Av. Riestra - Del Barco Centenera,Red caída,-34.6451485,-58.4321077
UTC API,Cruce Icarus,CRU_033114,Av. Riestra - Av. Darac - Barros Pasos,Red caída,-34.6450692,-58.4304406
UTC API,Cruce Icarus,CLT#050549,Catamarca - 15 de Noviembre,Error de conexión,-34.6340855,-58.4012546
UTC API,Cruce Citar,3396,3396,Conectado,-34.5843728,-58.4171496
UTC API,Cruce Icarus,CLT#050548,Av. Chiclana - Dean Funes,Error de conexión,-34.6292836,-58.4056209
UTC API,Cruce Icarus,CLT#050547,La Rioja - Garro,Error de conexión,-34.6326322,-58.4061361
UTC API,Cruce Citar,3397,3397,Conectado,-34.5851488,-58.4159449
UTC API,Cruce Citar,3398,3398,Conectado,-34.5945093,-58.40898
UTC API,Cruce Icarus,CLT#050546,Av. Jujuy - 15 de Noviembre,Error de conexión,-34.6337185,-58.3996933
UTC API,Cruce Icarus,CLT#050552,Pichincha - Cátulo Castillo,Error de conexión,-34.631548,-58.395988
UTC API,Cruce Icarus,CLT#050551,La Rioja - Constitución,Error de conexión,-34.627195,-58.406763
UTC API,Cruce Icarus,CLT#050550,Av. Brasil - Esteban de Luca,Error de conexión,-34.63264,-58.403123
UTC API,Cruce Icarus,CRU_033101,Av. Cobo - Del Barco Centenera,Red caída,-34.6417387,-58.4323068
