Id_hecho,VICTIMA,SEXO,EDAD,GRAVEDAD
LC-2019-0000053,SIN DATO,MASCULINO,57,SIN DATO
LC-2019-0000063,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0000079,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0000082,SIN DATO,MASCULINO,45,SIN DATO
LC-2019-0000082,SIN DATO,FEMENINO,45,SIN DATO
LC-2019-0000082,SIN DATO,MASCULINO,27,SIN DATO
LC-2019-0000082,SIN DATO,FEMENINO,32,SIN DATO
LC-2019-0000136,SIN DATO,MASCULINO,21,SIN DATO
LC-2019-0000136,SIN DATO,FEMENINO,21,SIN DATO
LC-2019-0000142,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0000179,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0000194,SIN DATO,FEMENINO,33,SIN DATO
LC-2019-0000202,SIN DATO,MASCULINO,25,SIN DATO
LC-2019-0000329,SIN DATO,MASCULINO,23,SIN DATO
LC-2019-0000347,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0000445,SIN DATO,MASCULINO,42,SIN DATO
LC-2019-0000445,SIN DATO,FEMENINO,42,SIN DATO
LC-2019-0000445,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0000493,SIN DATO,MASCULINO,53,SIN DATO
LC-2019-0000600,SIN DATO,FEMENINO,1,SIN DATO
LC-2019-0000636,SIN DATO,FEMENINO,62,SIN DATO
LC-2019-0000647,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0000686,SIN DATO,FEMENINO,67,SIN DATO
LC-2019-0005235,SIN DATO,FEMENINO,75,SIN DATO
LC-2019-0000928,SIN DATO,FEMENINO,40,SIN DATO
LC-2019-0000963,SIN DATO,FEMENINO,48,SIN DATO
LC-2019-0000963,SIN DATO,MASCULINO,48,SIN DATO
LC-2019-0000963,SIN DATO,FEMENINO,27,SIN DATO
LC-2019-0000963,SIN DATO,FEMENINO,3,SIN DATO
LC-2019-0000963,SIN DATO,FEMENINO,33,SIN DATO
LC-2019-0001754,SIN DATO,FEMENINO,49,SIN DATO
LC-2019-0001879,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0001948,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0547054,SIN DATO,MASCULINO,25,SIN DATO
LC-2019-0001992,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0002083,SIN DATO,MASCULINO,27,SIN DATO
LC-2019-0002208,SIN DATO,MASCULINO,34,SIN DATO
LC-2019-0002218,SIN DATO,MASCULINO,52,SIN DATO
LC-2019-0002740,SIN DATO,MASCULINO,44,SIN DATO
LC-2019-0003220,SIN DATO,FEMENINO,28,SIN DATO
LC-2019-0003220,SIN DATO,MASCULINO,28,SIN DATO
LC-2019-0003340,SIN DATO,SIN DATO,SIN DATO,SIN DATO
LC-2019-0005610,SIN DATO,MASCULINO,59,SIN DATO
LC-2019-0020183,SIN DATO,MASCULINO,50,SIN DATO
LC-2019-0022496,SIN DATO,MASCULINO,73,SIN DATO
LC-2019-0003428,SIN DATO,MASCULINO,45,SIN DATO
LC-2019-0816662,SIN DATO,MASCULINO,26,SIN DATO
LC-2019-0025711,SIN DATO,MASCULINO,32,SIN DATO
LC-2019-0003642,SIN DATO,MASCULINO,51,SIN DATO
LC-2019-0003787,SIN DATO,MASCULINO,48,SIN DATO
LC-2019-0003862,SIN DATO,FEMENINO,37,SIN DATO
LC-2019-0003862,SIN DATO,MASCULINO,37,SIN DATO
LC-2019-0003884,SIN DATO,FEMENINO,SIN DATO,SIN DATO
LC-2019-0004144,SIN DATO,MASCULINO,16,SIN DATO
LC-2019-0004229,SIN DATO,FEMENINO,43,SIN DATO
LC-2019-0004442,SIN DATO,FEMENINO,38,SIN DATO
LC-2019-0004442,SIN DATO,MASCULINO,38,SIN DATO
LC-2019-0004565,SIN DATO,FEMENINO,SIN DATO,SIN DATO
